ENSG00000004059	ARF5,gtpase activity,retrograde vesicle-mediated transport,protein binding,intracellular protein transport,golgi to endoplasmic reticulum transport,plasma membrane localization
ENSG00000086598	TMED2,somitogenesis,smoothened signaling pathway,protein secretion,vesicle-mediated transport,endoplasmic reticulum organization,inflammatory response
ENSG00000105669	COPE,copi-coated vesicle membrane,cytoplasmic vesicle formation,intra-golgi vesicle-mediated transport,retrograde vesicle-mediated transport,protein binding,endoplasmic reticulum to golgi vesicle-mediated transport
ENSG00000116489	CAPZA1,actin filament binding,actin cytoskeleton organization,barbed-end actin filament capping,cadherin binding,cell junction assembly,protein binding
ENSG00000121621	KIF18A,microtubule binding,atp binding,plus-end-directed microtubule motor activity,microtubule-based movement,cellular response to estradiol stimulus,protein transport
ENSG00000242247	ARFGAP3,gtpase activator activity,metal ion binding,protein binding,intracellular protein transport,cop i coating of golgi vesicle,protein secretion
ENSG00000105402	NAPA,syntaxin binding,protein-containing complex binding,glutamatergic synapse localization,soluble nsf attachment protein activity,snare binding,intracellular protein transport
ENSG00000160460	SPTBN4,phosphatase binding,cytoskeletal protein-membrane anchor activity,actin filament binding,spectrin binding,ankyrin binding,protein localization to plasma membrane
ENSG00000095139	ARCN1,coatomer subunit delta,copi-coated vesicle coat formation,retrograde transport between golgi and er,intracellular protein transport,golgi apparatus localization,cytoplasmic vesicle formation
ENSG00000084731	KIF3C,microtubule binding,atp hydrolysis activity,cytoskeletal motor activity,microtubule-based movement,kinesin complex formation,cytoplasmic localization
ENSG00000075785	RAB7A,gtpase activity,late endosomal function,intracellular transport,vesicle localization,endocytosis,autophagy
ENSG00000138778	CENPE,microtubule binding,cytoskeletal motor activity,kinetochore binding,microtubule motor activity,protein binding,kinesin motor domain activity
ENSG00000029534	ANK1,cytoskeletal anchor activity,spectralin binding,signal transduction,epithelial cell polarity,cellular homeostasis,maintenance of membrane protein anchoring
ENSG00000126062	TMEM115,retrograde vesicle-mediated transport,golgi to endoplasmic reticulum,protein transport,negative regulation of cell population proliferation,cellular homeostasis regulation,tmem115 localizationusing <go_description> and <gene_description>
ENSG00000141200	KIF2B,microtubule motor activity,atp hydrolysis activity,regulation of chromosome segregation,microtubule depolymerization,cell division,metaphase chromosome alignment
ENSG00000144635	DYNC1LI1,microtubule-based movement,cell division,mitotic spindle assembly checkpoint regulation,vesicle-mediated transport regulation,cytoplasmic dynein complex localization,plasma membrane association
ENSG00000149575	SCN2B,sodium channel regulator activity,voltage-gated sodium channel activity,regulation of heart rate by cardiac conduction,cardiac conduction,cardiac muscle contraction,sodium ion transport
ENSG00000151150	ANK3,regulation of potassium ion transport,positive regulation of cation channel activity,axonogenesis,establishment of protein localization,cytoskeletal anchor activity,protein-macromolecule adaptor activity
ENSG00000153253	SCN3A,voltage-gated sodium channel activity,metal ion transmembrane transporter activity,monatomic cation channel activity,sodium channel activity,monoatomic ion transport,monoatomic ion transmembrane transport
ENSG00000115073	ACTR1B,microtubule regulation,centrosome organization,atp binding activity,protein interactions,cell cycle progression,chromosome stability
ENSG00000162236	STX5,intracellular protein transport,vesicle docking,golgi disassembly,snap receptor activity,snare binding,cadherin binding
ENSG00000164597	COG5,vesicle recycling,golgi organization,retrograde transport,intra-golgi vesicle-mediated transport,trans-golgi network localization,protein binding capabilities
ENSG00000166557	TMED3,intracellular protein transport,golgi organization,vesicle-mediated transport,lipid metabolism,endoplasmic reticulum-golgi intermediate compartment membrane localization,copii-coated er to golgi transport vesicle regulation
ENSG00000166685	COG1,golgi organization,vesicle recycling within golgi,retrograde transport,glycosylation,protein binding,trans-golgi network membrane localization
ENSG00000166847	DCTN5,microtubule regulation,protein binding,cell division,cardiac development,oncogenic pathway modulation,cytoskeleton stabilization
ENSG00000167705	RILP,small gtpase binding,dynein light intermediate chain binding,protein dimerization activity,intralumenal vesicle formation,endosome-to-lysosome transport,cilium assembly
ENSG00000170348	TMED10,intracellular protein transport,regulated exocytosis,golgi organization,protein transmembrane transporter activity,syntaxin binding,positive regulation of protein secretion
ENSG00000144285	SCN1A,voltage-gated sodium channel activity,monoatomic cation channel activity,nerve development,sodium ion transport,neuronal action potential propagation,regulation of membrane potential
ENSG00000168434	COG7,vesicle recycling within golgi,intracellular protein transport,protein glycosylation,retrograde vesicle-mediated transport,trans-golgi network membrane localization,protein-binding activity
ENSG00000213380	COG8,vesicle recycling,retrograde transport,intra-golgi vesicle-mediated transport,protein binding,trans-golgi network membrane localization,golgi transport complex interaction
ENSG00000168374	ARF4,nad+-protein-arginine adp-ribosyltransferase activity,gtp binding,extracellular exosome localization,glutamatergic synapse formation,membrane trafficking regulation,vesicle formation promotion
ENSG00000170759	KIF5B,microtubule binding,microtubule motor activity,atp hydrolysis activity,vesicle transport along microtubules,gabaergic signaling,axon guidance
ENSG00000168356	SCN11A,sodium channel activity,metal ion transmembrane transporter activity,voltage-gated sodium channel activity,sodium ion transmembrane transport,regulation of membrane potential,action potential initiation
ENSG00000174903	RAB1B,gtp binding,gtpase activity,protein binding,autophagy regulation,golgi organization,endoplasmic reticulum-to-golgi transport
ENSG00000114745	GORASP1,protein binding,metal ion binding,protein transport,golgi organization,golgi ribbon formation,negative regulation of dendrite morphogenesis
ENSG00000101199	ARFGAP1,gtpase activator activity,metal ion binding,protein binding,regulation of endocytosis,vesicle-mediated transport,regulation of arf protein signal transduction
ENSG00000103051	COG4,protein binding,golgi organization,vesicle recycling,retrograde transport,glycosylation,membrane transport
ENSG00000137877	SPTBN5,spectrin beta chain binding,dynactin binding,actin filament capping,lysosomal transport,golgi organization,protein-protein interactions
ENSG00000158560	DYNC1I1,microtubule binding,dynein light chain binding,microtubule motor activity,cytoplasmic dynein complex formation,kinetochore complex assembly,cellular microtubule dynamics regulation
ENSG00000141447	OSBPL1A,cholesterol binding activity,lipid transport,phospholipid binding,vesicle-mediated transport,bile acid biosynthesis,plasma membrane localization
ENSG00000177098	SCN4B,voltage-gated sodium channel activity,sodium channel regulator activity,av node cell action potential,cardiac muscle contraction,negative regulation of sodium ion transport,plasma membrane localization
ENSG00000163808	KIF15,microtubule binding,cytoskeletal motor activity,atp binding,protein binding,plus-end-directed microtubule motor activity,atp hydrolysis activity
ENSG00000134265	NAPG,intracellular protein transport,vesicle-mediated transport,protein stabilization,membrane fusion,syntaxin binding,snare complex assembly
ENSG00000181789	COPG1,protein binding activity,structural molecule activity,intracellular protein transport,endoplasmic reticulum to golgi vesicle-mediated transport,protein secretion,organelle transport along microtubule
ENSG00000177938	CAPZA3,actin filament binding,actin binding,cytoplasm organization,actin cytoskeleton organization,spermatid development,barbed-end actin filament capping
ENSG00000184432	COPB2,intracellular protein transport,vesicle-mediated transport,golgi apparatus localization,endoplasmic reticulum to golgi vesicle-mediated transport,retrograde vesicle-mediated transport,copi-coated vesicle membrane interaction
ENSG00000105438	KDELR1,er retention sequence binding,protein binding,kdel sequence binding,golgi to endoplasmic reticulum transport,retrograde vesicle-mediated transport,t cell differentiation
ENSG00000184840	TMED9,intracellular protein transport,protein exit from endoplasmic reticulum,golgi apparatus organization,syntaxin binding,copi coating of golgi vesicle,early endosome to golgi transport
ENSG00000206305	HLA-DQA1,mhc class ii receptor activity,peptide antigen binding,antigen processing and presentation,presentation of exogenous peptide antigens,t-cell activation,immune response
ENSG00000169398	PTK2,focal adhesion kinase activity,integrin binding,histone h2axy142 kinase activity,cell migration regulation,anoikis regulation,focal adhesion assembly regulation
ENSG00000163531	NFASC,cell-cell adhesion mediator activity,protein binding,brain development,myelination,axon guidance,peripheral nervous system development
ENSG00000196876	SCN8A,voltage-gated sodium channel activity,monoatomic cation channel activity,sodium ion binding,action potential generation,neuronal excitability,myelination
ENSG00000010810	FYN,non-receptor tyrosine kinase activity,protein kinase activity,enzyme binding,g protein-coupled receptor binding,ephrin receptor binding,cell surface receptor signaling pathway
ENSG00000197102	DYNC1H1,minus-end-directed microtubule motor activity,mitotic spindle organization,retrograde axonal transport,cytoplasmic microtubule organization,atp binding,dynein light intermediate chain binding
ENSG00000115306	SPTBN1,actin filament capping,plasma membrane organization,cytoskeleton organization,golgi to plasma membrane protein transport,protein localization to plasma membrane,smad protein signal transduction
ENSG00000145362	ANK2,calcium ion transport regulation,k potassium ion transmembrane transporter activity regulation,cation channel activity regulation,protein localization regulation,cardiac muscle contraction regulation,cytoskeleton organization
ENSG00000075624	ACTB,actin filament formation,cellular morphogenesis,cell cycle regulation,transcriptional control,mitotic process regulation,cytoskeletal component structure
ENSG00000075043	KCNQ2,voltage-gated potassium channel activity,calmodulin binding,potassium ion transport,kcnq2 subunit function,neuronal excitability regulation,nodal protein interactions
ENSG00000229074	HLA-DRB1,antigen processing and presentation,major histocompatibility complex class ii protein complex,cytoskeleton organization,t-cell receptor signaling pathway,antibody production,adaptive immune response
ENSG00000196155	PLEKHG4,small gtpase mediated signal transduction,guanyl-nucleotide exchange factor activity,axon guidance regulation,protein binding,plasma membrane localization,cytosolic interaction
ENSG00000075945	KIFAP3,microtubule-based process,cilium organization,intraflagellar transport,protein localization,apoptosis regulation,cell division regulation
ENSG00000204843	DCTN1,microtubule binding,tubulin binding,protein binding,microtubule anchoring at centrosome,negative regulation of microtubule polymerization,retrograde transport
ENSG00000198898	CAPZA2,actin filament binding,protein binding,actin cytoskeleton organization,cortical cytoskeleton regulation,f-actin capping protein complex assembly,barbed-end actin filament capping
ENSG00000135775	COG2,protein transport regulation,glycosylation process,trans-golgi network localization,vesicle recycling within golgi,retrograde transport,golgi organization
ENSG00000196352	CD55,regulation of complement activation,lipid binding,virus receptor activity,innate immune response,modulation of cytosolic calcium ion concentration,endoplasmic reticulum-golgi intermediate compartment membrane localization
ENSG00000122218	COPA,intracellular protein transport,vesicle-mediated transport,endoplasmic reticulum to golgi transport,structural molecule activity,protein binding,growth cone localization
ENSG00000163554	SPTA1,calcium ion binding,structural constituent of cytoskeleton,actin filament binding,plasma membrane organization,regulation of cell shape,lymphocyte homeostasis
ENSG00000213281	NRAS,gtpase activity,g protein activity,hydrolase activity,signal transduction,ras protein signaling pathway,mapk cascade
ENSG00000138107	ACTR1A,vesicle-mediated transport,microtubule-based transport,atp binding,protein binding,cell cortex localization,centrosome localization
ENSG00000107862	GBF1,lipid binding activity,protein binding activity,guanine nucleotide exchange factor activity,phosphatidylinositol-3,4,5-trisphosphate binding
ENSG00000198910	L1CAM,cell adhesion,homophilic cell adhesion,axon guidance,central nervous system development,molecular adhesion,neuronal migration
ENSG00000142945	KIF2C,microtubule binding,cytoskeletal motor activity,microtubule plus-end binding,cell division,chromosome segregation,attachment of mitotic spindle microtubules to kinetochore
ENSG00000197694	SPTAN1,actin filament capping,spectrin alpha interactions,cytoskeletal organization,cell signaling,plasma membrane localization,calcium ion binding
ENSG00000090889	KIF4A,microtubule binding,atp binding,protein binding,iron-sulfur cluster binding,dna binding,microtubule motor activity
ENSG00000242685	HLA-DMA,mhc class ii protein complex binding,peptide antigen binding,immune response regulation,t cell activation,antigen processing and presentation,lysosomal membrane localization
ENSG00000223793	HLA-DQA2,mhc class ii protein complex binding,peptide antigen binding,protein binding,adaptive immune response regulation,antigen processing and presentation,positive regulation of t cell activation
ENSG00000206302	HLA-DQB1,antigen processing and presentation,adaptive immune response,peptide antigen binding,mhc class ii protein complex binding,metal ion binding,plasma membrane localization
ENSG00000198502	HLA-DRB5,mhc class ii protein complex binding,peptide antigen binding,positive regulation of adaptive immune response,antigen processing and presentation,immune modulation,tumor-associated antigen presentation
ENSG00000136531	SCN2A,voltage-gated sodium channel activity,calmodulin binding,monoatomic cation channel activity,sodium ion transmembrane transport,determination of adult lifespan,nerve development
ENSG00000101350	KIF3B,microtubule binding,atp hydrolysis activity,plus-end-directed microtubule motor activity,intraciliary transport,mitotic spindle assembly,centrosome separation
ENSG00000091129	NRCAM,cell-cell adhesion mediator activity,heterotypic cell-cell adhesion,neuron migration,axon guidance,brain development,positive regulation of neuron differentiation
ENSG00000132670	PTPRA,non-membrane spanning protein tyrosine phosphatase activity,metal-dependent protein tyrosine phosphatase activity,histone h2axy142 phosphatase activity,insulin receptor signaling pathway,integrin-mediated signaling pathway,modulation of chemical synaptic transmission
ENSG00000177951	BET1L,regulation of retrograde transport,membrane fusion events,snap receptor activity,protein binding capabilities,golgi apparatus localization,retrograde vesicle-mediated transport
ENSG00000184156	KCNQ3,voltage-gated potassium channel activity,kalmodulin binding,potassium ion transport,neuronal action potential regulation,cellular response to calcium ions,mitochondrial depolarization
ENSG00000104892	KLC3,kinesin binding,microtubule-based movement,axo-dendritic transport,spermatogenesis,cell differentiation,cytoskeleton localization
ENSG00000088986	DYNLL1,dynein light chain binding,microtubule-based process regulation,enzyme inhibitor activity,deoxyribonuclease inhibition,apoptotic process regulation,cytoskeleton organization
ENSG00000166257	SCN3B,voltage-gated sodium channel activity,membrane depolarization,sodium ion transport,cardiac muscle contraction,nervous system development,plasma membrane localization
ENSG00000173230	GOLGB1,sequence-specific dna binding,transcriptional regulation,golgi organization,chondrocyte proliferation,cytosolic localization,glycoprotein synthesis
ENSG00000110195	FOLR1,folate receptor activity,folic acid binding,signaling receptor activity,protein binding,folate metabolic process,axon regeneration
ENSG00000112984	KIF20A,microtubule binding,cytoskeletal motor activity,mitotic cytokinesis,microtubule bundle formation,protein transport,spindle localization
ENSG00000206308	HLA-DRA,peptide binding,antigen processing and presentation,mhc class ii protein complex interaction,endoplasmic reticulum localization,positive regulation of immune response,t-cell activation and differentiation
ENSG00000085063	CD59,complement binding,protein binding,cancer suppression,tumor suppressor activity,cell surface receptor signaling pathway regulation,blood coagulation regulation
ENSG00000077380	DYNC1I2,microtubule motor activity,vesicle movement,cytoplasmic dynein complex binding,dynein heavy chain binding,microtubule-based transport,cell migration regulation
ENSG00000254647	INS,insulin receptor binding,glucose homeostasis,vasodilation,cell migration regulation,protein kinase b activation,fatty acid homeostasis
ENSG00000276262	NSF,atp-dependent h3-h4 histone complex chaperone activity,snare binding,intracellular protein transport,chromatin remodeling,exocytosis,golgi apparatus localization
ENSG00000068796	KIF2A,microtubule binding activity,cytoskeletal motor activity,cell division regulation,mitotic spindle assembly,regulation of cell migration,negative regulation of microtubule depolymerization
ENSG00000131437	KIF3A,microtubule binding,kinesin binding,atp hydrolysis activity,microtubule motor activity,cilia formation and maintenance,microtubule-based movement regulation
ENSG00000169432	SCN9A,voltage-gated sodium channel activity,monoatomic cation channel activity,inflammation response,neuronal action potential propagation,pain perception modulation,immune response regulation
ENSG00000136546	SCN7A,monoatomic cation channel activity,voltage-gated sodium channel activity,sodium channel activity,negative regulation of cellular homeostasis,osmosensory signaling pathway,sodium ion transmembrane transport
ENSG00000100196	KDELR3,er retention sequence binding,kdel sequence binding,protein retention in er lumen,retrograde vesicle-mediated transport,golgi to endoplasmic reticulum transport,endoplasmic reticulum localization
ENSG00000138069	RAB1A,gtpase activity,vesicle-mediated transport,autophagy,cytosol localization,endoplasmic reticulum localization,golgi apparatus localization
ENSG00000115904	SOS1,guanine nucleotide exchange factor activity,epidermal growth factor receptor binding,gtpase activator activity,protein binding,molecular condensate scaffold activity,insulin-like growth factor receptor signaling
ENSG00000226650	KIF4B,microtubule motor activity,mitotic spindle organization,chromosome segregation,cytoskeleton regulation,dna binding,iron-sulfur cluster binding
ENSG00000066735	KIF26A,microtubule binding,cytoskeletal motor activity,atp binding,protein binding,microtubule motor activity,regulation of neuron migration
ENSG00000239457	HLA-DOB,antigen processing and presentation,positive regulation of immune response,mhc class ii receptor activity,lysosomal membrane localization,mhc class ii protein complex binding,peptide antigen assembly with mhc class ii
ENSG00000229493	HLA-DQB2,mhc class ii protein complex binding,peptide antigen binding,immune response regulation,antigen presentation via mhc class ii,adaptive immune response,positive regulation of t cell activation
ENSG00000185313	SCN10A,voltage-gated sodium channel activity,sodium channel activity,regulation of presynaptic membrane potential,monoatomic ion transmembrane transport,cardiac muscle contraction regulation,plasma membrane localization
ENSG00000235844	HLA-DPA1,mhc class ii protein complex binding,peptide antigen binding,immune response regulation,t cell activation,adaptive immune response,antigen processing and presentation
ENSG00000007314	SCN4A,voltage-gated sodium channel activity,sodium channel activity,protein binding,monoatomic ion transmembrane transport,sodium ion transport,muscle contraction
ENSG00000105711	SCN1B,sodium channel inhibitor activity,transmembrane transporter binding,sodium channel regulator activity,membrane depolarization during action potential,positive regulation of voltage-gated sodium channel activity,cardiac muscle contraction
ENSG00000133103	COG6,protein binding,golgi apparatus localization,vesicle recycling within golgi,retrograde transport,intra-golgi vesicle-mediated transport,glycosylation regulation
ENSG00000242092	HLA-DMB,mhc class ii protein complex binding,peptide antigen binding,adaptive immune response,antigen presentation via mhc class ii,lysosomal membrane localization,late endosome membrane interaction
ENSG00000174996	KLC2,kinesin light chain activity,kinesin binding,cadherin binding,protein binding,lysosome localization,microtubule-based movement
ENSG00000077549	CAPZB,f-actin capping activity,actin filament binding,actin cytoskeleton organization,lamellipodium assembly,regulation of cell morphogenesis,cell projection organization
ENSG00000158623	COPG2,coatomer subunit gamma-2 activity,structural molecule activity,intracellular protein transport,retrograde vesicle-mediated transport,protein secretion,vesicle-mediated transport
ENSG00000161800	RACGAP1,microtubule binding,cell division regulation,gtpase activating activity,cytokinesis regulation,signal transduction pathway regulation,mitotic spindle formation
ENSG00000134970	TMED7,intracellular protein transport,golgi organization,endoplasmic reticulum-to-golgi vesicle-mediated transport,protein binding,cellular compartmentalization regulation,molecular scaffolding
ENSG00000276536	HRAS,gtpase activity,g protein activity,protein-membrane adaptor activity,phospholipase c activator activity,apoptosis regulation,gene expression regulation
ENSG00000230708	HLA-DPB1,mhc class ii protein complex binding,pepptide antigen binding,positive regulation of immune response,adaptive immune response,antigen processing and presentation,plasma membrane localization
ENSG00000175203	DCTN2,mitotic spindle organization,microtubule-based process,melanosome transport,protein localization to centrosome,spectrin binding,identical protein binding
ENSG00000155980	KIF5A,microtubule binding,microtubule motor activity,plus-end-directed microtubule motor activity,atp hydrolysis activity,cytoskeletal motor activity,synaptic vesicle transport
ENSG00000183873	SCN5A,voltage-gated sodium channel activity,metal ion transmembrane transporter activity,ankyrin binding,ubiquitin protein ligase binding,protein kinase binding,sodium channel activity
ENSG00000132912	DCTN4,microtubule-based transport,protein binding,cytoskeleton organization,cytoplasmic dynein complex localization,sarcomere maintenance,nucleus involvement
ENSG00000126214	KLC1,microtubule-based movement,cytoskeletal motor activity,kinesin binding,protein binding,cell adhesion,stress granule disassembly
ENSG00000167110	GOLGA2,microtubule binding,syntaxin binding,protein transport,cellular organization,golgi apparatus structure,mitotic spindle assembly
ENSG00000149182	ARFGAP2,vesicle-mediated transport,gtpase activator activity,metal ion binding,copi coating of golgi vesicle,plasma membrane localization,endomembrane system association
ENSG00000143761	ARF1,gtp binding,gtpase activity,rna binding,protein binding,intracellular protein transport,receptor internalization
ENSG00000138768	USO1,vesicular transport regulation,protein binding activity,rna binding,golgi apparatus localization,er to golgi transport vesicle membrane association,membrane fusion process
ENSG00000111481	COPZ1,golgi apparatus formation,copi vesicle coat assembly,retrograde vesicle-mediated transport,protein transport and sorting,cytoplasmic vesicle formation,golgi to endoplasmic reticulum transport
ENSG00000070182	SPTB,actin filament capping,actin cytoskeleton organization,protein binding,structural constituent of cytoskeleton,plasma membrane localization,spectrin-associated cytoskeleton
ENSG00000264364	DYNLL2,microtubule regulation,cilia formation,centrosome organization,dynein intermediate chain binding,cytoplasmic dynein complex assembly,cytoskeleton maintenance
ENSG00000149294	NCAM1,cell adhesion,axon guidance,epithelial-to-mesenchymal transition,virus receptor activity,protein binding,plasma membrane localization
ENSG00000005243	COPZ2,retrograde transport,intracellular protein transport,vesicle-mediated transport,golgi apparatus regulation,cytoplasmic vesicle localization,copi-coated vesicle membrane interaction
ENSG00000125814	NAPB,soluble nsf attachment protein activity,syntaxin binding,protein transport,glutamatergic synaptic transmission,extracellular exosome localization,intracellular protein regulation
ENSG00000197892	KIF13B,microtubule binding,cytoskeletal motor activity,atp binding,regulation of axonogenesis,vesicle transport along microtubules,microtubule-based movement
ENSG00000086827	ZW10,centromere/kinetochore protein function,mitotic spindle orientation regulation,sister chromatid segregation regulation,kinetochore attachment regulation,protein binding,centromeric dna binding
ENSG00000113734	BNIP1,apoptotic process regulation,calcium-mediated signaling,negative regulation of apoptotic process,snap receptor activity,protein binding,endoplasmic reticulum membrane localization
ENSG00000135249	RINT1,mitotic g2 dna damage checkpoint signaling,endoplasmic reticulum to golgi vesicle-mediated transport,protein binding,retrograde vesicle-mediated transport,dsl1/nzr complex,molecular function
ENSG00000053501	USE1,vesicle transport activity,er-to-golgi transport pathway,protein binding,snap receptor activity,endoplasmic reticulum localization,membrane fusion
ENSG00000054523	KIF1B,microtubule binding,cytoskeletal motor activity,atp hydrolysis activity,microtubule-based movement,neuromuscular synaptic transmission,anterograde synaptic vesicle transport
ENSG00000151779	NBAS,protein binding,retrograde vesicle-mediated transport,snare binding,endoplasmic reticulum regulation,nuclear-transcribed mrna catabolic process,cytosol localization
ENSG00000164627	KIF6,microtubule motor activity,atp binding,protein binding,microtubule-based movement,cytoskeleton organization,cytoplasmic localization
ENSG00000165115	KIF27,microtubule binding,cytoskeletal motor activity,atp hydrolysis activity,microtubule-based movement,epithelial cilium movement,ventricular system development
ENSG00000165527	ARF6,small gtpase activity,gtp binding,thioesterase binding,protein binding,gdp binding,hydrolase activity
ENSG00000167702	KIFC2,microtubule binding,cytoskeletal motor activity,microtubule-based movement,mitotic spindle assembly,atp binding,atp hydrolysis activity
ENSG00000168818	STX18,syntaxin 18 function,intracellular protein transport,membrane fusion,vesicle-mediated transport,protein binding,endoplasmic reticulum localization
ENSG00000129250	KIF1C,microtubule binding activity,atp hydrolysis activity,retrograde vesicle-mediated transport,anterograde neuronal dense core vesicle transport,microtubule-based movement,cellular compartmentalization
ENSG00000088727	KIF9,microtubule binding,atp hydrolysis activity,cytoskeletal motor activity,regulation of podosome assembly,extracellular matrix disassembly,microtubule-based movement
ENSG00000139116	KIF21A,microtubule binding,cytoskeletal motor activity,atp binding,ankyrin repeat binding,protein binding,plus-end-directed microtubule motor activity
ENSG00000138182	KIF20B,microtubule binding,cytoskeletal motor activity,atp binding,protein binding,plus-end-directed microtubule motor activity,cell division regulation
ENSG00000148248	SURF4,lipid homeostasis,lipoprotein transport,copii receptor activity,cargo receptor activity,protein binding,organelle organization
ENSG00000136883	KIF12,microtubule binding,cytoskeletal motor activity,microtubule motor activity,atp binding,atp hydrolysis activity,microtubule-based movement
ENSG00000196169	KIF19,microtubule binding activity,plus-end directed microtubule motor activity,atp hydrolysis activity,cytoskeletal motor activity,microtubule depolymerization regulation,cellular morphology maintenance
ENSG00000132535	DLG4,cell polarity establishment,cell-cell adhesion regulation,protein localization modulation,synaptic transmission regulation,neuronal function maintenance,tissue architecture preservation
ENSG00000089177	KIF16B,microtubule motor activity,lipid binding,epidermal growth factor receptor signaling pathway,fibroblast growth factor receptor signaling pathway,early endosome to late endosome transport,golgi to endosome transport
ENSG00000162849	KIF26B,microtubule motor activity,cytoskeletal motor activity,microtubule binding,atp binding,cell polarity regulation,positive regulation of cell-cell adhesion
ENSG00000125337	KIF25,microtubule binding,cytoskeletal motor activity,atp hydrolysis activity,mitotic sister chromatid segregation,negative regulation of autophagy,centrosome localization
ENSG00000233450	KIFC1,microtubule motor activity,atp hydrolysis activity,microtubule binding,cell division,chromosome segregation,mitotic spindle assembly
ENSG00000116852	KIF21B,microtubule motor activity,atp hydrolysis activity,microtubule binding,cell migration regulation,growth cone formation,cytoplasmic vesicle localization
ENSG00000130294	KIF1A,microtubule binding,microtubule motor activity,atp hydrolysis activity,atp binding,plus-end-directed microtubule motor activity,cytoskeletal motor activity
ENSG00000105963	ADAP1,gtpase activator activity,protein binding,inositol 1,3,4,5 tetrakisphosphate binding
ENSG00000265808	SEC22B,vesicle-mediated transport,snap receptor activity,er-to-golgi transport,negative regulation of autophagosome assembly,protein trafficking,golgi apparatus localization
ENSG00000186185	KIF18B,microtubule binding,microtubule motor activity,cytoskeletal motor activity,mitotic sister chromatid segregation,regulation of cell division,microtubule depolymerization
ENSG00000096401	CDC5L,rna polymerase ii-specific interactions,rna binding,dna-binding transcription activator activity,mrna splicing,cell cycle regulation,dna damage checkpoint signaling
ENSG00000197256	KANK2,regulation of cell population proliferation,rho protein signal transduction pathway,mitochondrion localization,protein binding activity,negative regulation of programmed cell death,actin filament polymerization regulation
ENSG00000107104	KANK1,cell population proliferation,actin cytoskeleton organization,regulation of rho protein signal transduction,protein-macromolecule adaptor activity,beta-catenin binding,plasma membrane localization
ENSG00000119844	AFTPH,clathrin binding,protein binding,intracellular transport,protein transport,trans-golgi network membrane localization,clathrin-coated vesicle formation
