ENSG00000073050,XRCC1,dna damage response,single strand break repair,double-strand break repair via nonhomologous end joining,response to hydroperoxide,replication-born double-strand break repair via sister chromatid exchange,oxidized dna binding
ENSG00000005156,LIG3,dna ligase activity,double-strand break repair,homologous recombination,non-homologous end joining,nucleus localization,atp binding
ENSG00000196419,XRCC6,dna double-strand break repair,nonhomologous end joining,double-stranded dna binding,cellular response to radiation,dna ligase activity,protein-containing complex binding
ENSG00000079246,XRCC5,dna double-strand break repair,non-homologous end joining (nhej),telomere maintenance,dna damage response,genotoxicity,cellular senescence
ENSG00000152422,XRCC4,dna ligase activity,nonhomologous end joining,double-strand break repair,protein binding,dna binding,nucleus localization
ENSG00000174405,LIG4,dna ligase activity,double-strand break repair,non-homologous end joining,genomic instability,tumor suppression,dna repair
ENSG00000049860,HEXB,lysosomal enzyme activity,glycoconjugate degradation,lipid metabolism,carbohydrate catabolism,intracellular calcium ion homeostasis,cell shape regulation
ENSG00000213614,HEXA,lysosomal enzyme activity,glycosaminoglycan metabolism,n-glycan processing,hydrolase activity,cellular degradation,tumor microenvironment interaction
ENSG00000151348,EXT2,heparan sulfate proteoglycan biosynthesis,glycosaminoglycan biosynthetic process,protein glycosylation,cell signaling,tumor microenvironment interaction,angiogenesis
ENSG00000182197,EXT1,glycosyltransferase activity,heparan sulfate modification,cell adhesion,protein binding,glycosaminoglycan biosynthetic process,cell signaling pathway regulation
ENSG00000115904,SOS1,guanine nucleotide exchange factor activity,ras protein signal transduction,epidermal growth factor receptor signaling pathway,positive regulation of mapk cascade,cell population proliferation,plasma membrane localization
ENSG00000170312,CDK1,cyclin binding,protein kinase activity,mitotic cell cycle regulation,dna replication,microtubule cytoskeleton organization,chromatin binding
ENSG00000134057,CCNB1,cyclin-dependent protein serine/threonine kinase activator activity,mitotic spindle organization,positive regulation of g2/m transition of mitotic cell cycle,protein binding,regulation of mitotic cell cycle spindle assembly checkpoint,g2/m transition of mitotic cell cycle
ENSG00000165494,PCF11,mrna 3'-end processing,rna polymerase ii complex binding,mrna binding,co-transcriptional mrna processing,nucleoplasm localization,cytoplasm localization
ENSG00000172409,CLP1,rna processing,mrna 3'-end processing,trna splicing,atp-dependent polynucleotide 5'-hydroxyl-kinase activity,risc complex assembly,global gene silencing by mrna cleavage
ENSG00000187079,TEAD1,dna-binding transcription factor activity,hippo signaling,positive regulation of cell growth,protein binding,regulation of dna-templated transcription,embryonic organ development
ENSG00000137693,YAP1,transcriptional coactivator activity,hippo signaling pathway,cell cycle progression,apoptosis suppression,epithelial-mesenchymal transition,nucleus localization
ENSG00000074219,TEAD2,tead domain specific binding,dna-binding transcription factor activity,hippo signaling,transcription coactivator binding,positive regulation of transcription by rna polymerase ii,regulation of dna-templated transcription
ENSG00000007866,TEAD3,hippo signaling,transcriptional regulator,dna binding,rna polymerase ii regulation,cell proliferation,oncogenic activity
ENSG00000197905,TEAD4,transcriptional regulation,dna binding,hippo signaling pathway,cell fate specification,embryonic development,positive regulation of transcription
ENSG00000132964,CDK8,rna polymerase ii ctd heptapeptide repeat phosphorylation,cyclin-dependent protein kinase activity,mediator complex,cell cycle regulation,transcriptional elongation,nucleus localization
ENSG00000112237,CCNC,cyclin-dependent protein serine/threonine kinase regulator activity,g0 to g1 transition,regulation of transcription by rna polymerase ii,notch signaling pathway,cell cycle regulation,nucleoplasm localization
ENSG00000101665,SMAD7,negative regulation of tgf-β signaling,cell migration,epithelial to mesenchymal transition,tumor suppression,protein-containing complex localization,regulation of transcription by rna polymerase ii
ENSG00000157450,RNF111,ubiquitin ligase activity,protein degradation,dna repair,tgf-β signaling,nucleoplasm localization,cytoplasm localization
ENSG00000284792,PTEN,phosphatase activity,negative regulation of g1/s transition of mitotic cell cycle,protein dephosphorylation,cell migration,pi3k signaling pathway inhibition,tumor suppression
ENSG00000141510,TP53,dna binding transcription factor activity,cell cycle regulation,apoptosis induction,dna damage response,negative regulation of cell growth,tumor suppression
ENSG00000165699,TSC1,negative regulation of tor signaling,protein-protein interactions with chaperones (hsp90 & hsp70),regulation of cell cycle progression,regulation of cell size control,mtor pathway involvement,tumor suppressor activity
ENSG00000103197,TSC2,gtpase activator activity,mtor pathway inhibition,autophagy regulation,cell cycle control,endocytosis,wnt signaling modulation
ENSG00000284194,SCO2,copper chaperone activity,respiratory electron transport chain,mitochondrial cytochrome c oxidase assembly,protein-disulfide reductase activity,intracellular copper ion homeostasis,cellular respiration
ENSG00000048392,RRM2B,ribonucleotide reductase activity,dna synthesis involved in dna repair,positive regulation of g2/m transition of mitotic cell cycle,response to oxidative stress,protein binding,mitochondrion localization
ENSG00000135423,GLS2,glutamate biosynthetic process,glutamine catabolic process,mitochondrial matrix localization,hydrolase activity,reactive oxygen species metabolic process,protein binding
ENSG00000146674,IGFBP3,insulin-like growth factor binding,negative regulation of cell population proliferation,mapk cascade,regulation of apoptosis,protein phosphorylation,extracellular region localization
ENSG00000141682,PMAIP1,intrinsic apoptotic signaling pathway,cytochrome c release,dna damage response,hypoxia response,caspase activation,p53 regulation
ENSG00000015475,BID,apoptotic mitochondrial changes,extrinsic apoptotic signaling pathway via death domain receptors,regulation of apoptotic process,mitochondrial outer membrane permeabilization,release of cytochrome c from mitochondria,protein-containing complex assembly
ENSG00000120471,TP53AIP1,p53 interaction,apoptotic process,mitochondrial matrix localization,tumor suppressor activity,dna damage response,cancer progression
ENSG00000197050,ZNF420,transcriptional repression,dna-binding transcription factor activity,rna polymerase ii binding,nuclear localization,metal ion binding,regulation of gene expression
ENSG00000115107,STEAP3,iron ion transport,ferric-chelate reductase (nadph) activity,protein secretion,copper ion import,apoptotic process,plasma membrane localization
ENSG00000104765,BNIP3L,mitochondrial membrane potential,mitophagy,apoptosis regulation,lamin binding,protein homodimerization,hypoxia response
ENSG00000170855,TRIAP1,p53 binding,apoptosis inhibition,phospholipid transport,dna damage response,mitochondrial localization,nucleus localization
ENSG00000042286,AIFM2,ferroptosis suppression,oxidoreductase activity,mitochondrial localization,electron transfer chain,nad(p)h binding,apoptotic process regulation
ENSG00000164938,TP53INP1,tumor suppressor function,p53 regulation,apoptosis induction,autophagy modulation,antioxidant activity,cell cycle control
ENSG00000120868,APAF1,apoptotic signaling pathway,apoptosome formation,caspase activation,cytochrome c interaction,intrinsic apoptotic pathway,regulation of apoptosis
ENSG00000177595,PIDD1,apoptotic signaling,death receptor binding,endopeptidase activity,nf-κb regulation,dna damage response,cell cycle arrest
ENSG00000169372,CRADD,apoptosis,death receptor binding,caspase activation,dna damage response,extrinsic apoptotic signaling pathway,protein-protein interaction
ENSG00000091106,NLRC4,inflammasome complex,il-1β production,pyroptosis,pattern recognition receptor signaling,bacterial detection,none
ENSG00000138794,CASP6,cysteine-type endopeptidase activity,apoptosis regulation,epithelial cell differentiation,pyroptotic inflammatory response,activation of innate immune response,protein autoprocessing
ENSG00000003400,CASP10,caspase activity,apoptotic signaling pathway,death receptor binding,cytoplasm localization,extrinsic apoptotic process,regulation of apoptosis
ENSG00000104419,NDRG1,microtubule binding,gamma-tubulin binding,protein binding,negative regulation of cell population proliferation,dna damage response,cytoskeleton
ENSG00000281449,BCL2L14,apoptotic process,regulation of apoptotic process,protein kinase binding,protein binding,endomembrane system localization,cytosol localization
ENSG00000089685,BIRC5,mitotic cell cycle,caspase inhibitor activity,apoptotic process,chromosome segregation,spindle localization,cytokinesis regulation
ENSG00000113916,BCL6,transcriptional repression,b cell differentiation,immune response regulation,cell cycle control,apoptosis suppression,chromatin remodeling
ENSG00000161642,ZNF385A,dna binding,rna binding,p53 binding,regulation of translation,dna damage response,positive regulation of dna damage response
ENSG00000116017,ARID3A,chromatin binding,transcription coregulator activity,regulation of dna-templated transcription,positive regulation of transcription by rna polymerase ii,dna binding,protein binding
ENSG00000165891,E2F7,negative regulation of cell population proliferation,dna damage response,regulation of transcription by rna polymerase ii,transcription factor activity,dna binding,cell cycle checkpoint control
ENSG00000129173,E2F8,transcriptional regulation,cell cycle control,dna binding,chromatin association,oncogenic potential,embryonic development
ENSG00000116717,GADD45A,dna repair,apoptosis,cell cycle regulation,p38mapk cascade,jnk cascade,angiogenesis inhibition
ENSG00000087586,AURKA,microtubule cytoskeleton organization,spindle assembly,g2/m transition of mitotic cell cycle,positive regulation of mitotic nuclear division,centrosome localization,regulation of protein stability
ENSG00000132646,PCNA,dna replication,dna repair,protein-containing complex binding,chromatin binding,positive regulation of dna replication,cellular response to oxidative stress
ENSG00000087088,BAX,mitochondrial membrane permeability,cytochrome c release,apoptotic signaling pathway,intrinsic apoptotic pathway,positive regulation of apoptosis,negative regulation of neuron apoptotic process
ENSG00000175793,SFN,protein binding,cell cycle regulation,signal transduction,apoptosis regulation,phosphorylation,protein kinase c inhibitor activity
ENSG00000145632,PLK2,protein kinase activity,mitotic cell cycle,dna damage response,cell cycle regulation,signal transduction,ras protein signal transduction
ENSG00000173846,PLK3,protein serine/threonine kinase activity,p53 binding,mitotic spindle organization,g2/m transition of mitotic cell cycle,dna damage response,apoptotic process
ENSG00000102760,RGCC,cell cycle regulation,dna binding transcription factor activity,epithelial-mesenchymal transition,extracellular matrix remodeling,angiogenesis,immune response modulation
ENSG00000118495,PLAGL1,dna-binding transcription activator activity,dna-binding transcription repressor activity,positive regulation of transcription by rna polymerase ii,negative regulation of transcription by rna polymerase ii,apoptosis,nucleoplasm localization
ENSG00000115966,ATF2,camp response element binding,rna polymerase ii-specific dna-binding transcription factor binding,positive regulation of dna-binding transcription factor activity,cell proliferation,apoptosis,dna damage response
ENSG00000177606,JUN,transcription factor activity,dna binding,cellular proliferation,apoptosis regulation,stress response,viral transcription regulation
ENSG00000170345,FOS,transcription factor activity,dna binding,gene regulation,signal transduction,cellular response to stimuli,tumor growth promotion
ENSG00000122512,PMS2,mismatch repair,dna repair,chromatin remodeling,genomic instability,tumorigenesis,mutsα complex binding
ENSG00000076242,MLH1,dna mismatch repair,mismatched dna binding,atp-dependent dna damage sensor activity,mmr protein complex,homologous recombination,germ cell development
ENSG00000158169,FANCC,interstrand crosslink repair,dna repair,nucleotide-excision repair,protein binding,cellular response to oxidative stress,chromatin organization
ENSG00000134574,DDB2,dna damage binding,nucleotide-excision repair,protein ubiquitination,ubiquitin-protein transferase activity,cellular response to uv,protein polyubiquitination
ENSG00000057657,PRDM1,dna-binding transcription factor activity,regulation of gene expression,transcription cis-regulatory region sequence-specific dna binding,nucleus localization,negative regulation of gene expression,immune response regulation
ENSG00000135679,MDM2,ubiquitin-protein ligase activity,p53 binding,regulation of cell cycle,negative regulation of apoptosis,dna damage response,none
ENSG00000198625,MDM4,ubiquitin-protein transferase activity,p53 regulator,negative regulation of apoptosis,regulation of cell cycle,dna damage response,protein degradation
ENSG00000113328,CCNG1,cyclin-dependent protein serine/threonine kinase regulator activity,g2/m transition,cell division,negative regulation of apoptotic process,dna damage checkpoint signaling,mitotic cell cycle
ENSG00000064393,HIPK2,histone kinase activity,dna-dependent protein kinase activity,protein serine/threonine kinase activity,positive regulation of dna-binding transcription factor activity,regulation of cell cycle,apoptosis
ENSG00000127445,PIN1,peptidyl-prolyl cis-trans isomerase activity,protein binding,regulation of protein stability,regulation of gene expression,negative regulation of transforming growth factor beta receptor signaling pathway,wnt signaling pathway
ENSG00000163349,HIPK1,histone h3 kinase activity,histone modification,signal transduction pathways,chromatin remodeling,apoptosis evasion,cell cycle control
ENSG00000149136,SSRP1,nucleosome binding,chromatin binding,dna repair,dna replication,rna binding,protein binding
ENSG00000092201,SUPT16H,nucleosome binding,transcription elongation,dna repair,rna binding,nucleosome assembly,positive regulation of transcription
ENSG00000101266,CSNK2A1,histone kinase activity,dna damage response,cell cycle regulation,wnt signaling pathway,apoptotic signaling pathway,chromatin remodeling
ENSG00000070770,CSNK2A2,histone kinase activity,wnt signaling pathway,dna damage response,negative regulation of apoptosis,chromatin remodeling,protein serine/threonine kinase activity
ENSG00000088325,TPX2,microtubule nucleation,mitotic spindle assembly,spindle pole localization,protein kinase binding,apoptotic process,cell division
ENSG00000188976,NOC2L,chromatin binding,transcriptional repression,apoptosis regulation,nucleosome binding,rna polymerase ii interaction,dna-binding transcription factor binding
ENSG00000176749,CDK5R1,microtubule cytoskeleton organization,ephrin receptor signaling pathway,neuron migration,actin cytoskeleton organization,protein targeting to membrane,peptidyl-threonine phosphorylation
ENSG00000164885,CDK5,microtubule binding,histone kinase activity,protein serine/threonine kinase activity,cell cycle regulation,synaptic vesicle endocytosis,p53 binding
ENSG00000152192,POU4F1,rna polymerase ii-specific dna-binding transcription factor,dna-binding transcription factor activity,regulation of cell cycle,neuron differentiation,positive regulation of transcription by rna polymerase ii,negative regulation of apoptosis
ENSG00000151615,POU4F2,transcription factor activity,dna binding,gene expression regulation,cell differentiation,signal transduction,cellular response
ENSG00000172530,BANP,dna binding,transcriptional activation,chromatin organization,nucleolar localization,protein catabolic process regulation,positive regulation of dna-templated transcription
ENSG00000025293,PHF20,dna binding,chromatin organization,histone acetyltransferase complex,regulation of dna-templated transcription,nucleoplasm localization,mll1 complex
ENSG00000185513,L3MBTL1,histone methyl-lysine binding,chromatin organization,dna-templated transcription regulation,heterochromatin formation,regulation of mitotic nuclear division,nucleosome binding
ENSG00000238134,EHMT2,histone h3k9 methylation,histone h3k27 methylation,chromatin organization,transcriptional repression,dna methylation,cellular response to stimuli
ENSG00000181090,EHMT1,histone h3k9 methyltransferase activity,transcriptional repression,chromatin organization,facultative heterochromatin formation,dna methylation-dependent constitutive heterochromatin formation,p53 binding
ENSG00000137203,TFAP2A,dna-binding transcription factor activity,positive regulation of transcription by rna polymerase ii,negative regulation of cell population proliferation,sequence-specific dna binding,embryonic cranial skeleton morphogenesis,regulation of gene expression
ENSG00000124795,DEK,dna binding,histone binding,protein binding,rna binding,regulation of double-strand break repair via nonhomologous end joining,positive regulation of transcription by rna polymerase ii
ENSG00000087510,TFAP2C,dna binding,transcription factor activity,rna polymerase ii transcription regulation,epigenetic regulation,cell-cell signaling,gene repression
ENSG00000186153,WWOX,wnt signaling pathway regulation,apoptosis induction,oxidoreductase activity,transcriptional co-activation,extrinsic apoptotic pathway,tumor suppressor function
ENSG00000008196,TFAP2B,transcriptional regulation,dna-binding activity,cell proliferation,apoptosis,development,insulin secretion
ENSG00000127337,YEATS4,homologous recombination,histone binding,chromatin remodeling,transcriptional regulation,dna repair,mitotic cell cycle
ENSG00000091831,ESR1,estrogen receptor signaling pathway,nuclear estrogen receptor activity,dna-binding transcription factor activity,steroid hormone receptor signaling pathway,estrogen response element binding,positive regulation of dna-binding transcription factor activity
ENSG00000156802,ATAD2,atp-dependent h3-h4 histone complex chaperone activity,chromatin looping,nucleosome assembly,cohesin loader activity,positive regulation of dna-templated transcription,transcription initiation-coupled chromatin remodeling
ENSG00000112715,VEGFA,angiogenesis,cell proliferation,chemotaxis,vascular endothelial growth factor signaling pathway,blood vessel development,extracellular matrix binding
ENSG00000163235,TGFA,egf receptor binding,growth factor activity,positive regulation of cell division,angiogenesis,epidermal growth factor receptor signaling pathway,erbb2-egfr signaling pathway
ENSG00000124762,CDKN1A,cell cycle arrest,tumor suppression,dna damage response,apoptosis regulation,senescence induction,cdk inhibition
ENSG00000159216,RUNX1,transcription factor activity,dna binding,cell differentiation,angiogenesis regulation,hematopoiesis,tumor growth
ENSG00000078900,TP73,dna-binding transcription factor activity,apoptosis,dna damage response,transcriptional regulation,cell cycle regulation,tumor suppressor
ENSG00000179588,ZFPM1,transcriptional repressor activity,hematopoiesis,cell differentiation,dna binding,transcription regulation,platelet formation
ENSG00000102145,GATA1,hematopoiesis,transcriptional regulation,cell differentiation,dna-binding transcription factor activity,zinc ion binding,cell population proliferation
ENSG00000143387,CTSK,cysteine-type endopeptidase activity,collagen binding,positive regulation of apoptotic signaling pathway,cellular response to transforming growth factor beta stimulus,extracellular matrix disassembly,immune response
ENSG00000197641,SERPINB13,cysteine-type endopeptidase inhibitor activity,serine-type endopeptidase inhibitor activity,lysosomal lumen localization,negative regulation of proteolysis,response to uv,regulation of apoptotic process
ENSG00000110092,CCND1,cyclin-dependent protein serine/threonine kinase activator activity,cell cycle regulation,g1/s transition of mitotic cell cycle,wnt signaling pathway,positive regulation of g2/m transition of mitotic cell cycle,protein binding
ENSG00000135446,CDK4,cyclin binding,protein kinase activity,g2/m transition of mitotic cell cycle,regulation of g1/s transition of mitotic cell cycle,positive regulation of cell population proliferation,protein phosphorylation
ENSG00000173153,ESRRA,steroid binding,sequence-specific dna binding,nuclear receptor activity,dna-binding transcription factor activity,regulation of transcription by rna polymerase ii,positive regulation of transcription
ENSG00000109819,PPARGC1A,mitochondrial biogenesis,fatty acid oxidation,transcriptional coactivator activity,energy homeostasis,cellular respiration,circadian regulation
ENSG00000122691,TWIST1,developmental process,transcriptional regulation,dna binding,epithelial-to-mesenchymal transition (emt),angiogenesis,negative regulation of cellular senescence
ENSG00000124813,RUNX2,dna-binding transcription factor activity,positive regulation of transcription by rna polymerase ii,regulation of gene expression,positive regulation of cell population proliferation,skeletal system development,bone mineralization
ENSG00000109705,NKX3-2,dna binding,transcription regulation,skeletal system development,cell differentiation,organ development,apoptosis regulation
ENSG00000120149,MSX2,dna-binding transcription factor activity,bmp signaling pathway,regulation of apoptosis,mesenchymal cell apoptotic process,epithelial-mesenchymal transition,cell surface receptor signaling pathway involved in heart development
ENSG00000141646,SMAD4,tgf-β signaling,dna-binding transcription factor activity,epithelial to mesenchymal transition (emt),cell proliferation regulation,negative regulation of cell growth,renal development
ENSG00000170365,SMAD1,tgf-β signaling pathway,bmp signaling pathway,cell population proliferation,tumor growth,angiogenesis,apoptosis
ENSG00000020633,RUNX3,transcription factor activity,dna-binding transcription factor activity,sequence-specific dna binding,cell differentiation,negative regulation of cell cycle,immune response regulation
ENSG00000166949,SMAD3,transforming growth factor beta signaling,epithelial-mesenchymal transition,gene expression regulation,cell growth inhibition,apoptosis modulation,transcriptional activation
ENSG00000198176,TFDP1,dna-binding transcription factor activity,rna polymerase ii transcription regulator complex,regulation of dna-templated transcription,positive regulation of g1/s transition of mitotic cell cycle,transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii
