WDR36,ribosomal small subunit biogenesis,rrna processing,nucleus localization,protein binding,regulation of axon extension,visual perceptio
VAMP2,snare complex assembly,synaptic vesicle exocytosis,vesicle fusion,regulation of exocytosis,calcium-ion regulated exocytosis,synaptic vesicle membrane
MED26,transcription coactivator activity,positive regulation of transcription initiation by rna polymerase ii,protein binding,nucleus,mediator complex,rna polymerase ii preinitiation complex assembly
GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription by rna polymerase ii,protein binding,dna binding,transcription factor tfiid complex binding,nucleus localization
HEATR1,ribosome biogenesis,rrna processing,positive regulation of transcription by rna polymerase i,protein binding,nucleolus,ribosomal small subunit biogenesis
INS,hormone activity,insulin receptor binding,cell growth,positive regulation of cell proliferation,glucose homeostasis,mapk cascade signaling
PSMA7,proteasome core complex,protein binding,ubiquitin-dependent protein catabolic process,alpha-subunit complex,protein degradation,cellular homeostasis
MRPS35,mitochondrial translation,ribosomal structural component,rna binding,protein binding,mitochondrial dysfunction,energy metabolism
LSM5,mrna splicing,rna binding,protein heterodimerization activity,u6 snrnp complex,u4/u6 x u5 tri-snrnp complex,mrna catabolic proces
ATG14,autophagosome assembly,phosphatidylinositol 3-kinase regulator activity,protein binding,regulation of macroautophagy,cellular response to starvation,mitophagy
CCNB2,cyclin-dependent protein serine/threonine kinase regulator activity,cell division,g2/m transition of mitotic cell cycle,protein binding,nucleus localization,microtubule cytoskeleton
POLR3F,rna polymerase iii complex,dna-directed rna polymerase activity,transcription by rna polymerase iii,positive regulation of interferon-beta production,defense response to virus,protein binding
MCM6,dna replication licensing factor,four-way junction helicase activity,double-stranded dna helicase activity,cohesin loader activity,chromatin remodeling,dna unwinding involved in dna replication
SMC5,dna damage response,double-strand break repair,telomere maintenance,chromosome segregation,protein binding,dna secondary structure binding
NDUFV2,electron transfer activity,nadh dehydrogenase activity,aerobic respiration,protein binding,mitochondrion,nervous system development
CFH,complement activation,regulation of complement activation,alternative pathway,c3b binding,protein binding,heparin binding
WDR18,rrna processing,dna-templated dna replication,nucleus localization,protein binding,ribosome complex,nuclear pre-replicative complex
CASP8,cysteine-type endopeptidase activity,extrinsic apoptotic signaling pathway via death domain receptors,regulation of cytokine production,response to tumor necrosis factor,positive regulation of cell migration,regulation of apoptotic process
MRPS9,mitochondrial translation,ribosome biogenesis,rna binding,protein binding,mitochondrion localization,cellular respiration
NOTCH3,notch signaling pathway,cell proliferation,neuron differentiation,calcium ion binding,negative regulation of cell differentiation,artery morphogenesis
TRMT112,protein methyltransferase activity,trna methylation,rrna processing,rrna methylation,transcription initiation-coupled chromatin remodeling,translation accuracy
RIPK1,necroptosis,mapk cascade,inflammatory response,cytokine signaling,death receptor binding,protein kinase activity
RPL13,structural constituent of ribosome,rna binding,protein binding,cytoplasmic translation,ribosome,nucleolus
XRCC5,dna damage response,double-strand break repair,dna binding,helicase activity,protein-containing complex binding,ubiquitin protein ligase binding
RPS27,ribosomal small subunit biogenesis,translation,rna binding,protein binding,cytoplasmic translation,synapse
APP,app processing,amyloid-beta accumulation,synaptic function,signaling receptor activity,protein binding,tumor progression
NPRL2,cellular response to amino acid starvation,negative regulation of torc1 signaling,positive regulation of autophagy,protein binding,gtpase activator activity,lysosomal membrane localization
COPS6,protein neddylation,regulation of protein neddylation,protein deneddylation,metallopeptidase activity,cell cycle control,dna repair
GTF2H5,dna repair,transcription elongation,protein binding,nucleotide excision repair,transcription initiation at rna polymerase ii promoter,nucleus localization
WDR75,rna binding,protein binding,rrna processing,positive regulation of transcription by rna polymerase i,ribosomal small subunit biogenesis,nucleus localization
POLA2,dna binding,protein binding,dna replication,dna replication initiation,synthesis of primer,nucleus localizatio
EIF3I,translation initiation factor activity,cytoplasmic translational initiation,rna binding,protein binding,formation of cytoplasmic translation initiation complex,eukaryotic 48s preinitiation complex
EIF1AX,trna binding,rna binding,protein binding,translation initiation factor activity,translational initiation,cytosol
HNRNPF,rna binding,rna splicing,mrna processing,single-stranded rna binding,nucleus,spliceosome
CRH,corticotropin-releasing hormone activity,glucocorticoid biosynthesis,stress response,neurotransmitter regulation (dopamine,norepinephrine),immune modulation (inflammatory response)
MRPL22,mitochondrial translation,ribosomal subunit assembly,rna binding,mitochondrion localization,structural constituent of ribosome,mitochondrial protein synthesis
CDK4,protein serine/threonine kinase activity,cyclin binding,regulation of cell cycle,g1/s transition of mitotic cell cycle,positive regulation of fibroblast proliferation,cyclin d1-cdk4 complex
EIF4B,translation initiation factor activity,rna binding,protein binding,regulation of translational initiation,translation,translational initiation
THOC1,mrna export from nucleus,protein binding,rna binding,mrna processing,signal transduction,transcription export complex
EXOSC7,rna exonuclease activity,mrna surveillance,rrna processing,3'-5'-rna exonuclease activity,rna binding,nuclear exosome (rnase complex)
EEF2,translation elongation,positive regulation of translation,protein kinase binding,ribosome binding,cytosol localization,agresome localization
RRAGA,gtp binding,gtpase activity,mtorc1 signaling,autophagy regulation,protein localization to membrane,cellular response to amino acid starvation
NUP85,nuclear pore complex protein,protein binding,mrna transport,nucleocytoplasmic transport,lamellipodium assembly,chemotaxi
FANCF,dna damage response,interstrand cross-link repair,dna repair,protein binding,nucleus,chromatin
CCNA2,cyclin-dependent protein serine/threonine kinase regulator activity,g1/s transition of mitotic cell cycle,g2/m transition of mitotic cell cycle,mitotic cell cycle phase transition,cyclin a2-cdk2 complex,cellular response to growth factor stimulus
MRPS22,mitochondrial translation,structural constituent of ribosome,ribosomal subunit assembly,mitochondrial inner membrane,protein binding,protein import into mitochondrion
INCENP,chromosome segregation,mitotic cytokinesis,spindle assembly checkpoint,kinetochore,centromeric region,microtubule cytoskeleton
RMI1,homologous recombination repair,nucleus localization,dna replication,glucose homeostasis,protein binding,recq family helicase-topoisomerase iii complex
EPHB4,ephrin receptor activity,platelet-derived growth factor receptor activity,vascular endothelial growth factor receptor activity,protein tyrosine kinase activity,angiogenesis,cell migration involved in sprouting angiogenesis
ORC5,nucleotide binding,atp binding,dna replication origin binding,protein binding,dna replication initiation,regulation of dna replication
SMC1B,dna binding,sister chromatid cohesion,chromosome segregation,nucleus localization,atp hydrolysis activity,chromosomal instability
PER1,circadian rhythm,negative regulation of transcription by rna polymerase ii,regulation of circadian rhythm,regulation of gene expression,chromatin remodeling,transcription cis-regulatory region binding
SEC24A,copii-coated vesicle cargo loading,protein secretion,protein transport,vesicle-mediated transport,intracellular protein transport,endoplasmic reticulum to golgi vesicle-mediated transport
DEPDC5,gtpase activator activity,gator1 complex,mtorc1 signaling,positive regulation of autophagy,cellular response to amino acid starvation,protein-containing complex binding
RPL22,ribosomal protein synthesis,protein binding,rna binding,cytoplasmic translation,presynaptic translation,focal adhesion
XRCC6,double-strand break repair via nonhomologous end joining,dna binding,protein binding,atp hydrolysis activity,dna ligation,cellular response to x-ray
CSF1R,macrophage colony-stimulating factor receptor activity,positive regulation of macrophage proliferation,cellular response to cytokine stimulus,regulation of mapk cascade,signal transduction,tumor angiogenesis
MCM4,dna helicase activity,double-stranded dna binding,chromatin remodeling,dna replication initiation,mitotic dna replication initiation,dna unwinding involved in dna replicatio
RFC2,dna duplex unwinding,dna replication,dna repair,positive regulation of dna-directed dna polymerase activity,single-stranded dna helicase activity,atp hydrolysis activity
GOSR2,snare binding,protein binding,vesicle-mediated transport,intra-golgi vesicle-mediated transport,endoplasmic reticulum to golgi vesicle-mediated transport,membrane fusion
VTA1,protein transport,macroautophagy,multivesicular body assembly,late endosome to vacuole transport via multivesicular body sorting pathway,escrt iii complex disassembly,multivesicular body sorting pathwa
MED29,protein binding,transcription coregulator activity,rna polymerase ii preinitiation complex assembly,positive regulation of transcription elongation by rna polymerase ii,positive regulation of transcription initiation by rna polymerase ii,regulation of transcription by rna polymerase ii
CRHR2,g protein-coupled receptor activity,peptide hormone binding,corticotropin-releasing factor receptor activity,hormone-mediated signaling pathway,cell surface receptor signaling pathway,axon terminus
EIF2S1,translation initiation factor activity,response to endoplasmic reticulum stress,translation initiation,stress granule assembly,protein binding,rna binding
MTOR,protein kinase activity,ribosomal protein s6 kinase activity,histone kinase activity,autophagy regulation,cellular response to nutrient levels,positive regulation of cytoplasmic translational initiation
NCK2,receptor tyrosine kinase binding,scaffold protein binding,signal complex assembly,actin filament polymerization,cell migration,endoplasmic reticulum stress response
DDB1,cullin family protein binding,ubiquitin ligase complex scaffold activity,dna damage response,proteasomal protein catabolic process,protein ubiquitination,dna repai
CYC1,ubiquinol-cytochrome-c reductase activity,mitochondrial electron transport,cellular respiration,proton transmembrane transport,response to glucagon,heme bindin
NDUFA2,nadh dehydrogenase (ubiquinone) activity,mitochondrial respiratory chain complex i assembly,proton transmembrane transport,mitochondrion,mitochondrial electron transport,nadh to ubiquinon
TRAPPC5,vesicle-mediated transport,golgi vesicle transport,copii vesicle coating,protein binding,trapp complex,endoplasmic reticulum to golgi vesicle-mediated transpor
MED6,transcription coactivator binding,transcription coregulator activity,protein ubiquitination,rna polymerase ii preinitiation complex assembly,positive regulation of transcription initiation by rna polymerase ii,positive regulation of transcription elongation by rna polymerase ii
MRPS12,mitochondrial translation,rna binding,protein binding,ribosome,mitochondrion,mitochondrial ribosome
LIN52,regulation of dna-templated transcription,protein binding,nucleoplasm localization,drm complex,dna replication licensing,chromatin organization
REV1,translesion synthesis,dna binding,deoxycytidyl transferase activity,dna repair,damaged dna binding,error-prone translesion synthesis
TCF12,dna binding,sequence-specific double-stranded dna binding,e-box binding,smad binding,positive regulation of gene expression,transcriptional regulation by rna polymerase ii
CAMK2B,protein serine/threonine kinase activity,signal transduction,positive regulation of synapse maturation,regulation of neuron projection development,regulation of protein localization to plasma membrane,synapse
U2AF2,mrna splicing,pre-mrna 3'-splice site binding,spliceosomal complex assembly,protein ubiquitination,rna binding,negative regulation of protein ubiquitination
STAG1,chromatin binding,protein binding,cell division,sister chromatid cohesion,mitotic spindle assembly,chromosome segregation
SUPT4H1,rna polymerase ii complex binding,zinc ion binding,transcription elongation by rna polymerase ii,negative regulation of transcription elongation by rna polymerase ii,protein heterodimerization activity,nucleoplasm localization
RPL9,ribosomal rna binding,structural constituent of ribosome,cytoplasmic translation,translation,mrna stability regulation,cell signaling
WDR59,lysosome localization,protein binding,amino acid starvation response,negative regulation of torc1 signaling,cellular response to nutrient levels,signaling adaptor activity
PSMD9,ubiquitin-dependent protein catabolic process,proteasome regulatory particle assembly,transcription coactivator activity,bhlh transcription factor binding,nucleus localization,cytosol localization
MCM5,dna binding,helicase activity,chromatin remodeling,dna replication initiation,cell division,double-stranded dna helicase activity
LY96,lipopolysaccharide binding,lipopolysaccharide immune receptor activity,toll-like receptor 4 binding,inflammatory response,immune response,cell surface receptor signaling pathway
RHO,gtpase activity,actin cytoskeleton regulation,cell motility,podosome assembly,microtubule cytoskeleton organization,cell migratio
POLR2G,dna-directed rna polymerase ii subunit rpb7,transcription initiation at rna polymerase ii promoter,positive regulation of translational initiation,dna-templated transcription initiation,p-body,nucleoplas
FBL,rrna methylation,u6 snrna 2'-o-ribose methylation,ribosomal small subunit biogenesis,chromatin remodeling,ribosome biogenesis,protein synthesis
MRPS28,mitochondrial translation,rna binding,ribosome biogenesis,mitochondrion localization,mitochondrial small ribosomal subunit,cellular respiratio
ANAPC1,protein k48-linked ubiquitination,protein branched polyubiquitination,metaphase/anaphase transition of mitotic cell cycle,regulation of mitotic cell cycle,protein ubiquitination,molecular adaptor activity
STX16,snare binding,vesicle-mediated transport,protein binding,endocytic recycling,retrograde transport,golgi cisterna
IKBKB,ikappab kinase activity,nf-kappab transcription factor activity,chromatin remodeling,histone kinase activity,protein serine/threonine kinase activity,positive regulation of nf-kappab signal transductio
NCOR2,nuclear receptor binding,transcription corepressor activity,chromatin binding,androgen receptor signaling pathway,negative regulation of transcription,response to estradio
CENPC,centromeric dna binding,kinetochore assembly,chromosome segregation,protein binding,mitotic cell cycle,nucleus localization
AP2A1,clathrin adaptor activity,protein binding,receptor-mediated endocytosis,endocytosis,intracellular protein transport,membrane coa
RPS27L,ribosomal small subunit assembly,dna damage response,positive regulation of translation,protein binding,rna binding,apoptotic process regulation
XRCC2,dna damage sensor activity,protein binding,dna binding,four-way junction dna binding,homologous recombination,double-strand break repai
USH1C,stereocilia ankle link complex,protein binding,sensory perception of sound,inner ear morphogenesis,cell differentiation,actin filament bundle assembl
EIF2B5,translation initiation factor activity,protein binding,guanyl-nucleotide exchange factor activity,positive regulation of translation,response to endoplasmic reticulum stress,positive regulation of apoptotic proces
MUS81,endonuclease activity,crossover junction dna endonuclease activity,dna binding,double-strand break repair,mitotic intra-s dna damage checkpoint signaling,replication fork processing
F7,serine-type peptidase activity,positive regulation of cell migration,platelet-derived growth factor receptor signaling pathway,extracellular space localization,blood coagulation,protein processing
CCNC,cyclin-dependent protein serine/threonine kinase regulator activity,protein binding,positive regulation of transcription by rna polymerase ii,negative regulation of notch signaling pathway,g0 to g1 transition,cellular component as ckm complex
SMAD7,negative regulation of transforming growth factor beta receptor signaling pathway,cellular response to transforming growth factor beta stimulus,regulation of epithelial to mesenchymal transition,negative regulation of t-helper 17 type immune response,protein stabilization,negative regulation of transcription by competitive promoter binding.
AP1M1,clathrin adaptor activity,protein binding,vesicle-mediated transport,melanosome organization,endosome to melanosome transport,golgi apparatus localization
SOX2,positive regulation of dna-templated transcription,negative regulation of epithelial cell proliferation,positive regulation of mapk cascade,negative regulation of canonical wnt signaling pathway,dna binding,transcription cis-regulatory region binding
IFT122,intraflagellar transport,cilium assembly,non-motile cilium assembly,protein localization to cilium,negative regulation of smoothened signaling pathway,intraciliary transport particle
GBE1,glycogen biosynthetic process,carbohydrate metabolism,protein binding,cell growth,survival,glycosyltransferase activity
PSMD2,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of protein catabolic process,protein binding,enzyme regulator activity,nucleus,cytosol
MED7,transcription coactivator activity,rna polymerase ii preinitiation complex assembly,positive regulation of transcription initiation by rna polymerase ii,protein binding,ubiquitin protein ligase activity,nucleus
DCAF13,ubiquitin-like ligase-substrate adaptor activity,protein ubiquitination,ribosome biogenesis,rrna processing,cell cycle regulation,nucleus localization
TRAPPC3,vesicle-mediated transport,copii vesicle coating,trapp complex,golgi vesicle transport,endoplasmic reticulum to golgi vesicle-mediated transport,protein binding
CAB39,protein serine/threonine kinase activator activity,kinase binding,cellular hypotonic response,positive regulation of protein serine/threonine kinase activity,negative regulation of potassium ion transmembrane transporter activity,signal transduction
NEK2,mitotic centrosome separation,spindle assembly,chromatin remodeling,cell division,protein phosphorylation,histone kinase activit
HMGCS1,hydroxymethylglutaryl-coa synthase activity,lipid metabolic process,cholesterol biosynthetic process,farnesyl diphosphate biosynthetic process,protein binding,cytoplasm localization
FADD,death effector domain binding,caspase binding,tumor necrosis factor receptor binding,apoptotic signaling pathway,extrinsic apoptotic signaling pathway via death domain receptors,positive regulation of type i interferon-mediated signaling pathway
CETN2,centriole replication,microtubule organization,dna repair,protein binding,cell division,calcium ion bindin
NFKB1,dna-binding transcription factor activity,transcriptional regulation,canonical nf-kappab signal transduction,mapk cascade,non-canonical nf-kappab signal transduction,positive regulation of dna-templated transcription
COX5B,cytochrome-c oxidase activity,mitochondrial electron transport,cellular respiration,oxidative phosphorylation,protein binding,metal ion bindin
DCP1A,5'-(n(7)-methylguanosine 5'-triphospho)-[mrna] hydrolase activity,mrna methylguanosine-cap decapping,nuclear-transcribed mrna catabolic process,nonsense-mediated decay,p-body,cytoplasmic stress granule
MRPS30,mitochondrial translation,ribosome biogenesis,apoptosis,rna binding,structural constituent of ribosome,mitochondrion localization
VPS4A,escrt iii complex disassembly,multivesicular body sorting pathway,autophagosome maturation,chromatin remodeling,viral budding via host escrt complex,protein transport
FANCM,dna helicase activity,interstrand cross-link repair,chromatin remodeling,double-strand break repair,replication fork processing,nucleus localization
STIP1,hsp90 protein binding,rna binding,protein folding chaperone complex,cellular response to interleukin-7,golgi apparatus,protein stability regulation
EXOSC2,exonuclease activity,rna binding,3'-5'-rna exonuclease activity,rna processing,rrna processing,positive regulation of cell growt
TAF1,histone acetyltransferase activity,dna binding,rna polymerase ii regulation,transcriptional initiation,chromatin remodeling,gene expression regulation
NDUFS6,nadh dehydrogenase (ubiquinone) activity,electron transfer activity,proton motive force-driven mitochondrial atp synthesis,mitochondrial electron transport,aerobic respiration,mitochondrion localizatio
RPL27A,ribosomal protein,ribosome biogenesis,translation,protein synthesis,cell proliferation,cancer progressio
LSM3,mrna splicing,u6 snrna binding,spliceosome assembly,pre-mrna processing,protein binding,p-body assembly
TCIRG1,lysosomal acidification,autophagy regulation,intracellular calcium ion homeostasis,immune response regulation,cell polarity establishment,v-type proton atpase activity
FANCL,ubiquitin-protein transferase activity,interstrand cross-link repair,protein monoubiquitination,dna repair,dna damage response,nuclear envelop
RPL7,ribosomal large subunit biogenesis,cytoplasmic translation,protein binding,mrna binding,structural constituent of ribosome,rna binding
VAPA,vesicle-associated membrane protein-associated protein a,sterol transport,protein binding,copii-coated vesicle budding,endoplasmic reticulum-plasma membrane tethering,membrane fusion
MYC,transcription factor binding,dna-binding transcription factor activity,positive regulation of gene expression,g1/s transition of mitotic cell cycle,mapk cascade,dna damage response
TIMELESS,dna binding,double-strand break repair via homologous recombination,dna damage response,cellular response to cisplatin,cell cycle phase transition,circadian rhythm
STRADA,protein binding,atp binding,kinase binding,protein kinase activator activity,g1 to g0 transition,protein export from nucleus
POLR2A,dna-directed rna polymerase ii activity,rna polymerase ii activity,regulation of dna-templated transcription,transcription by rna polymerase ii,protein binding,positive regulation of rna splicing
UBE2C,ubiquitin-protein transferase activity,ubiquitin conjugating enzyme activity,protein ubiquitination,regulation of mitotic metaphase/anaphase transition,positive regulation of exit from mitosis,anaphase-promoting complex
SLX4,structure-specific endonuclease subunit slx4,dna binding,enzyme activator activity,dna repair,homologous recombination,telomere maintenance
FDX1,electron transfer activity,steroid biosynthetic process,cellular response to camp,cholesterol metabolic process,iron ion binding,mitochondrion
MAP2K6,protein serine/threonine kinase activity,stress-activated protein kinase signaling cascade,response to dna damage,positive regulation of apoptotic process,mapk cascade,cellular senescence
MSH2,dna mismatch repair,oxidized purine dna binding,single-stranded dna binding,double-stranded dna binding,dna damage response,intrinsic apoptotic signaling pathway in response to dna damage
UTP20,rna binding,protein binding,endonucleolytic cleavage,ribosomal small subunit biogenesis,nucleolus,negative regulation of cell population proliferatio
NCAPG2,chromosome condensation,sister chromatid cohesion,mitotic sister chromatid segregation,positive regulation of chromosome segregation,cell division,nuclear speck localization
PES1,ribosome biogenesis,rrna processing,5.8s rrna maturation,nucleolus,protein synthesis,cell proliferation
HSP90AB1,protein complex assembly,protein stabilization,positive regulation of signal transduction pathway,protein folding,negative regulation of apoptosis,response to stress
MED17,nuclear receptor binding,transcription coactivator activity,protein ubiquitination,positive regulation of transcription initiation,rna polymerase ii preinitiation complex assembly,mediator complex
TP53RK,regulation of p53 class mediator signaling,histone h2bs36 kinase activity,histone h2as121 kinase activity,dna-dependent protein kinase activity,protein phosphorylation,trna processing
ANAPC16,protein k48-linked ubiquitination,anaphase-promoting complex,cell division,chromosome segregation,protein binding,regulation of mitotic cell cycle
RPS6KB1,mtor pathway,ribosomal protein s6 kinase activity,protein synthesis,cell growth regulation,glucose metabolism regulation,positive regulation of smooth muscle cell proliferation
RPL37A,ribosomal protein l37a,structural constituent of ribosome,cytoplasmic translation,translation,protein binding,rna binding
TNFSF10,trail binding,apoptotic process,positive regulation of apoptotic process,immune response,cytokine activity,signal transduction
CASP10,apoptotic process,extrinsic apoptotic signaling pathway via death domain receptors,cysteine-type peptidase activity,protein binding,regulation of nf-kappab signal transduction,macrophage differentiatio
UPF1,nonsense-mediated decay,rna helicase activity,chromatin remodeling,telomere maintenance,dna repair,mrna surveillance
PLEC,actin filament organization,hemidesmosome assembly,cell motility,invasion,apoptosis resistance,cytoskeletal organization
INSR,receptor-mediated endocytosis,positive regulation of protein phosphorylation,positive regulation of cell migration,vascular endothelial growth factor receptor signaling pathway,glucose homeostasis,positive regulation of glycolytic process
RAD21,chromatin binding,dna-binding transcription factor binding,cohesin complex,chromosome segregation,cell division,dna repair
PSMB10,proteolysis,protein degradation,threonine-type endopeptidase activity,ubiquitin-dependent protein catabolic process,humoral immune response,cell morphogenesis
MRPL44,mitochondrial translation,rna processing,ribosome,mitochondrion,protein binding,endonuclease activity
MRPL21,mitochondrial translation,ribosomal subunit assembly,mitochondrial dysfunction,apoptosis,rna binding,structural constituent of ribosom
KPNB1,nuclear localization signal binding,protein import into nucleus,nls-bearing protein import into nucleus,protein transport,rna import into nucleus,mitotic spindle assembly
GAB2,phosphatidylinositol-3,4-bisphosphate binding,transmembrane receptor protein tyrosine kinase adaptor activity,phosphatidylinositol-3,4,5-trisphosphate binding
CARD11,card domain binding,protein binding,guanylate kinase activity,positive regulation of t cell activation,regulation of t cell differentiation,positive regulation of interleukin-2 production
ERCC2,dna damage response,dna repair,helicase activity,dna binding,nucleotide-excision repair,double-stranded dna helicase activity
PSMD13,proteasome regulatory particle,protein binding,ubiquitin-dependent protein catabolic process,nucleus,cytosol,protein degradatio
RPL37,ribosomal protein l37,structural constituent of ribosome,rrna binding,mdm2/mdm4 family protein binding,cytoplasmic translation,positive regulation of signal transduction by p53 class mediator
MRPL2,mitochondrial translation,ribosome biogenesis,rna binding,mitochondrial large ribosomal subunit,oxidative phosphorylation,mitochondrion localization
NONO,chromatin binding,rna binding,dna repair,innate immune response,mrna processing,nucleus localization
SDHD,succinate dehydrogenase (quinone) activity,ubiquinone binding,electron transfer activity,tricarboxylic acid cycle,regulation of catecholamine secretion,mitochondrial electron transport
WDR3,ribosome biogenesis,small ribosomal subunit maturation,nucleus localization,rna binding,snorna binding,protein synthesi
VPS28,multivesicular body assembly,ubiquitin-dependent protein catabolic process,protein transport via mvb sorting pathway,positive regulation of protein degradation,endosome membrane localization,viral budding via host escrt complex
MRPS23,mitochondrial translation,ribosomal subunit,structural constituent of ribosome,rna binding,protein binding,mitochondrion localizatio
EPHA3,ephrin receptor activity,cell migration,axon guidance,regulation of focal adhesion assembly,cell adhesion,tumor invasion
FGFR2,fibroblast growth factor receptor activity,positive regulation of cell division,epithelial to mesenchymal transition,platelet-derived growth factor receptor activity,protein tyrosine kinase activity,none
CCL11,chemokine activity,eosinophil chemotaxis,positive regulation of cell migration,angiogenesis,erk1 and erk2 cascade,cytoskeleton organization
C1QA,complement activation,synapse pruning,amyloid-beta binding,collagen trimer,protein binding,neuron remodeling
GATA1,transcription factor activity,dna binding,hematopoiesis regulation,erythroid differentiation,platelet formation,eosinophil development
FLNA,actin filament binding,protein-containing complex binding,regulation of cell migration,regulation of apoptotic process,protein localization to plasma membrane,cell surface
MRPS18B,mitochondrial translation,ribosomal structural constituent,protein binding,mitochondrial inner membrane,nucleoplasm,apoptosi
TNFSF9,cytokine activity,signaling receptor binding,t cell proliferation,immune response,positive regulation of cytotoxic t cell differentiation,regulation of apoptotic proces
AP1S1,clathrin adaptor activity,receptor-mediated endocytosis,vesicle-mediated transport,protein transport,intracellular protein transport,cytoplasmic vesicle
NDUFB11,nadh dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11,protein binding,proton motive force-driven mitochondrial atp synthesis,mitochondrial respiratory chain complex i assembly,aerobic respiration,mitochondrial inner membrane
EPHB2,ephrin receptor activity,platelet-derived growth factor receptor activity,protein tyrosine kinase activity,axon guidance receptor activity,cell migration,insulin receptor signaling pathway
THOC2,mrna binding,rna splicing,mrna transport,nucleus,protein binding,transcription export complex
RPL30,ribosomal protein subunit,protein synthesis,translation,cytoplasmic localization,cytoplasmic ribosome,protein binding
COL1A2,collagen fibril organization,extracellular matrix structural constituent conferring tensile strength,extracellular matrix assembly,protein heterotrimerization,transforming growth factor beta receptor signaling pathway,blood vessel development
C1QC,complement activation,classical pathway,protein binding,synapse pruning,innate immune response,extracellular space
TINF2,telomeric dna binding,dna binding,protein binding,negative regulation of epithelial cell proliferation,telomere capping,regulation of telomere maintenance via telomere lengthening
NDUFA12,nadh dehydrogenase (ubiquinone) activity,protein binding,mitochondrial respiratory chain complex i assembly,mitochondrion,aerobic respiration,proton transmembrane transport
CDH23,cadherin binding,cell migration,cell adhesion,beta-catenin binding,calcium ion binding,plasma membrane localization
PTCH1,hedgehog signaling pathway,negative regulation of cell proliferation,protein-containing complex binding,smoothened binding,embryonic development,developmental processes
CNOT4,mrna poly(a) tail shortening,protein ubiquitination,cytoplasm localization,nuclear localization,regulation of gene expression,rna binding
BMI1,polycomb complex protein bmi-1,chromatin binding,prc1 complex,ubiquitin-protein transferase activator activity,protein binding,negative regulation of gene expression
CDC42,gtp binding,gtpase activity,positive regulation of cell migration,regulation of actin cytoskeleton organization,mapk cascade regulation,wnt signaling pathway
UPF3B,mrna binding,protein binding,nonsense-mediated decay,positive regulation of translation,nucleic acid binding,rna bindin
SUDS3,histone deacetylase binding,chromatin remodeling,negative regulation of dna-templated transcription,positive regulation of stem cell population maintenance,stem cell population maintenance,transforming growth factor beta receptor signaling pathway
PPP3CA,calcium-dependent protein serine/threonine phosphatase activity,nfat signaling cascade,regulation of transcription by rna polymerase ii,none,none,none
SF1,pre-mrna branch point binding,mrna splicing,spliceosomal complex assembly,rna binding,nucleus localization,transcription corepressor activity
